contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,ExpiryDate
AAPL240510C00200000,2024-05-07 17:50:36+00:00,200.0,0.01,0.01,0.02,-0.02,-66.66667,2582.0,10248,0.367193828125,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00205000,2024-05-07 17:48:46+00:00,205.0,0.01,0.0,0.01,0.0,0.0,437.0,9815,0.414068359375,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00210000,2024-05-07 13:59:42+00:00,210.0,0.01,0.0,0.01,0.0,0.0,3.0,2939,0.49219257812500006,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00215000,2024-05-06 13:33:15+00:00,215.0,0.01,0.0,0.01,0.0,0.0,56.0,1278,0.5312546875,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00220000,2024-05-06 15:28:14+00:00,220.0,0.01,0.0,0.01,0.0,0.0,203.0,2596,0.5937540625000001,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00225000,2024-05-07 13:50:30+00:00,225.0,0.01,0.0,0.01,0.0,0.0,1.0,651,0.6562534375000001,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00230000,2024-05-06 13:30:04+00:00,230.0,0.01,0.0,0.01,0.0,0.0,2.0,304,0.7187528125,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00235000,2024-05-07 15:14:07+00:00,235.0,0.01,0.0,0.01,0.0,0.0,57.0,329,0.7812521875,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00240000,2024-05-03 16:14:25+00:00,240.0,0.01,0.0,0.01,0.0,0.0,5.0,38,0.8437515624999999,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00250000,2024-05-06 13:30:04+00:00,250.0,0.01,0.0,0.01,0.0,0.0,1.0,2,0.9687503125,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00255000,2024-04-30 13:30:06+00:00,255.0,0.02,0.0,0.01,0.0,0.0,1.0,51,1.000005,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00260000,2024-04-30 13:30:01+00:00,260.0,0.01,0.0,0.01,0.0,0.0,,1,1.0625046875000002,False,REGULAR,USD,Call,2024-05-10
AAPL240510C00265000,2024-05-06 14:31:20+00:00,265.0,0.01,0.0,0.01,0.0,0.0,16.0,46,1.125004375,False,REGULAR,USD,Call,2024-05-10
AAPL240510P00100000,2024-05-06 18:46:02+00:00,100.0,0.01,0.0,0.0,0.0,0.0,1.0,285,0.500005,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00105000,2024-05-03 14:22:00+00:00,105.0,0.01,0.0,0.01,0.0,0.0,1.0,306,1.6875015625,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00110000,2024-05-06 14:53:00+00:00,110.0,0.01,0.0,0.01,0.0,0.0,1.0,111,1.5312523437499999,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00115000,2024-05-03 13:30:03+00:00,115.0,0.01,0.0,0.01,0.0,0.0,1.0,400,1.40625296875,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00120000,2024-05-02 18:18:31+00:00,120.0,0.01,0.0,0.0,0.0,0.0,20.0,122,0.500005,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00125000,2024-05-07 17:06:42+00:00,125.0,0.01,0.0,0.0,0.0,0.0,6.0,902,0.500005,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00130000,2024-05-07 16:59:40+00:00,130.0,0.01,0.0,0.01,0.0,0.0,6.0,2281,1.0625046875000002,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00135000,2024-05-07 17:18:10+00:00,135.0,0.01,0.0,0.01,0.0,0.0,5.0,1052,0.937500625,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00140000,2024-05-06 19:56:57+00:00,140.0,0.01,0.0,0.01,0.0,0.0,3.0,890,0.8437515624999999,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00142000,2024-05-06 13:48:04+00:00,142.0,0.01,0.0,0.01,0.0,0.0,2.0,48,0.79687703125,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00143000,2024-05-06 19:04:01+00:00,143.0,0.01,0.0,0.0,0.0,0.0,1.0,1525,0.500005,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00144000,2024-05-02 19:58:10+00:00,144.0,0.09,0.0,0.0,0.0,0.0,,78,0.500005,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00145000,2024-05-06 19:51:35+00:00,145.0,0.01,0.0,0.01,0.0,0.0,135.0,1228,0.73437765625,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00146000,2024-05-06 16:47:22+00:00,146.0,0.01,0.0,0.0,0.0,0.0,42.0,151,0.500005,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00147000,2024-05-06 14:03:48+00:00,147.0,0.01,0.0,0.01,0.0,0.0,15.0,450,0.6875031250000001,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00148000,2024-05-06 18:27:24+00:00,148.0,0.01,0.0,0.01,0.0,0.0,913.0,1736,0.6718782812500002,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00149000,2024-05-07 17:00:20+00:00,149.0,0.01,0.0,0.01,0.0,0.0,2.0,2187,0.6562534375000001,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00150000,2024-05-07 17:22:09+00:00,150.0,0.01,0.0,0.01,0.0,0.0,148.0,3602,0.6250037500000001,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00152500,2024-05-07 15:48:38+00:00,152.5,0.01,0.0,0.01,0.0,0.0,19.0,1111,0.5937540625000001,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00155000,2024-05-07 16:32:09+00:00,155.0,0.01,0.0,0.01,-0.02,-66.66667,292.0,22231,0.5312546875,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00157500,2024-05-07 17:24:36+00:00,157.5,0.01,0.01,0.02,-0.01,-50.0,152.0,3352,0.5468795312500001,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00160000,2024-05-07 17:59:48+00:00,160.0,0.02,0.0,0.02,-0.02,-50.0,786.0,9247,0.507817421875,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00162500,2024-05-07 17:49:36+00:00,162.5,0.03,0.02,0.03,-0.01,-33.333336,510.0,3835,0.476567734375,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00165000,2024-05-07 18:01:29+00:00,165.0,0.03,0.03,0.04,-0.020000001,-40.000004,803.0,8883,0.437505625,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00167500,2024-05-07 17:49:58+00:00,167.5,0.05,0.05,0.06,-0.029999997,-37.499996,1364.0,6515,0.40430283203125,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00170000,2024-05-07 18:01:51+00:00,170.0,0.07,0.07,0.08,-0.04,-36.363636,2968.0,18009,0.36133451171875,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00172500,2024-05-07 17:57:28+00:00,172.5,0.11,0.1,0.11,-0.030000001,-21.428572,3486.0,6257,0.317389638671875,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00175000,2024-05-07 18:02:55+00:00,175.0,0.14,0.14,0.15,-0.099999994,-39.999996,27771.0,16129,0.26758544921875,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00177500,2024-05-07 18:03:03+00:00,177.5,0.25,0.24,0.25,-0.25,-50.0,12208.0,9576,0.22412885253906245,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00180000,2024-05-07 18:03:15+00:00,180.0,0.53,0.53,0.55,-0.6,-53.57143,76667.0,21326,0.19336744140625,False,REGULAR,USD,Put,2024-05-10
AAPL240510P00182500,2024-05-07 18:03:09+00:00,182.5,1.33,1.33,1.38,-0.84000003,-38.709675,55847.0,21059,0.17847501220703127,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00185000,2024-05-07 17:58:48+00:00,185.0,2.87,2.91,3.05,-1.1600003,-28.784124,16392.0,12611,0.18726398681640627,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00187500,2024-05-07 17:27:27+00:00,187.5,5.15,5.0,5.15,-1.4000001,-21.374048,997.0,2643,0.17774259765625,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00190000,2024-05-07 17:25:37+00:00,190.0,7.85,7.35,7.6,-0.7000003,-8.383237,445.0,1817,0.2148516015625,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00192500,2024-05-07 17:55:18+00:00,192.5,10.2,9.75,10.0,-0.8000002,-7.2727284,53.0,2525,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00195000,2024-05-07 16:25:19+00:00,195.0,13.45,12.25,12.45,0.09999943,0.7490594,40.0,255,1.0000000000000003e-05,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00197500,2024-05-07 17:11:12+00:00,197.5,15.4,14.6,15.2,-1.7000008,-9.9415245,1.0,94,0.44434149414062496,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00200000,2024-05-07 13:57:29+00:00,200.0,17.56,17.2,17.55,-1.3400002,-7.089948,35.0,172,0.335944140625,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00205000,2024-05-07 15:59:08+00:00,205.0,23.45,22.25,22.55,-0.75,-3.0991735,184.0,40,0.42188078125,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00210000,2024-05-07 13:48:00+00:00,210.0,25.74,27.15,27.6,-3.1599998,-10.934257,2.0,65,0.6093789062500001,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00215000,2024-04-22 14:59:10+00:00,215.0,49.8,32.2,32.6,0.0,0.0,2.0,0,0.6953155468750001,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00220000,2024-05-07 14:39:33+00:00,220.0,37.3,37.15,37.65,0.29999924,0.8108088,2.0,2,0.8457046679687499,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00230000,2024-05-03 19:24:16+00:00,230.0,45.4,47.15,47.65,0.0,0.0,90.0,45,1.01172369140625,True,REGULAR,USD,Put,2024-05-10
AAPL240510P00235000,2024-05-03 13:30:38+00:00,235.0,47.6,52.15,52.6,0.0,0.0,1.0,1,1.0078174609375,True,REGULAR,USD,Put,2024-05-10
AAPL240517C00005000,2024-05-02 14:24:11+00:00,5.0,166.6,177.35,177.9,0.0,0.0,50.0,49,9.265629208984375,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00010000,2024-05-03 18:15:51+00:00,10.0,175.69,172.4,172.8,0.0,0.0,1.0,1,7.101563623046875,True,REGULAR,USD,Call,2024-05-17
