Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-23 00:00:00-04:00,162.53591686393403,168.93786664305344,161.58709604612818,168.76808166503906,63988900,0.0,0.0
2022-05-24 00:00:00-04:00,164.89298165903426,165.76188586011529,157.60213232635962,161.33743286132812,58855000,0.0,0.0
2022-05-25 00:00:00-04:00,159.99906898398137,170.89538897026264,159.7993228783137,169.53709411621094,78113200,0.0,0.0
2022-05-26 00:00:00-04:00,160.15891374885626,180.69312965762668,160.0190899144446,178.28614807128906,99657500,0.0,0.0
2022-05-27 00:00:00-04:00,181.6319523466798,188.57323415838152,180.77303015734051,187.87411499023438,73837900,0.0,0.0
2022-05-31 00:00:00-04:00,189.56197911340226,191.75921709468147,183.26987675455234,186.48583984375,66410000,0.0,0.0
2022-06-01 00:00:00-04:00,187.00520291643554,190.29107048755907,180.9927478453932,182.9702606201172,54451400,0.0,0.0
2022-06-02 00:00:00-04:00,182.69061827918225,195.9439820959924,181.75179459164954,195.67431640625,64865600,0.0,0.0
2022-06-03 00:00:00-04:00,190.5807267669505,193.07759186824907,184.98774284417968,186.9652557373047,59877900,0.0,0.0
2022-06-06 00:00:00-04:00,191.14999225161384,193.12750502231398,185.40720287415473,187.62442016601562,42240600,0.0,0.0
2022-06-07 00:00:00-04:00,184.4883741360546,189.76175213408192,181.65193897219933,189.02267456054688,38891400,0.0,0.0
2022-06-08 00:00:00-04:00,187.79395749180034,191.5999817412567,185.1567112623669,186.2855224609375,36325200,0.04,0.0
2022-06-09 00:00:00-04:00,184.61728039161122,189.1325712696149,180.22187474451636,180.2917938232422,39557400,0.0,0.0
2022-06-10 00:00:00-04:00,175.81648605399403,176.78547586133556,168.51411057777113,169.56301879882812,46524800,0.0,0.0
2022-06-13 00:00:00-04:00,159.83314118851015,162.94988256396573,155.89724764788292,156.30682373046875,60415300,0.0,0.0
2022-06-14 00:00:00-04:00,157.14593152361414,160.49244374735676,153.9592560865958,158.19483947753906,46968000,0.0,0.0
2022-06-15 00:00:00-04:00,160.7821539460517,168.5040886253495,159.0939138848185,165.09765625,56393600,0.0,0.0
2022-06-16 00:00:00-04:00,158.43463150956467,159.25376855702686,153.8494059864967,155.84732055664062,54574900,0.0,0.0
2022-06-17 00:00:00-04:00,156.31681149566862,159.78319404625893,153.12015164519127,158.6343994140625,63033400,0.0,0.0
2022-06-21 00:00:00-04:00,164.57818899565558,169.9026323868453,163.89890545629055,165.48724365234375,48308900,0.0,0.0
2022-06-22 00:00:00-04:00,162.0907834031218,166.4462372333646,161.6312716452238,163.4293975830078,43713500,0.0,0.0
2022-06-23 00:00:00-04:00,165.01773170628033,165.67704707421706,158.36467352337584,162.08079528808594,46368000,0.0,0.0
2022-06-24 00:00:00-04:00,164.82792431547722,171.22124376753322,162.92991189020694,171.08139038085938,47215300,0.0,0.0
2022-06-27 00:00:00-04:00,172.9394567147077,173.1192769277793,166.08661006453482,168.5140838623047,42796800,0.0,0.0
2022-06-28 00:00:00-04:00,168.82375469306558,171.84060948872212,159.28371106863963,159.65333557128906,46114900,0.0,0.0
2022-06-29 00:00:00-04:00,157.9750684686559,158.0350034532479,151.54178257927921,155.25790405273438,48235200,0.0,0.0
2022-06-30 00:00:00-04:00,153.4497975930265,155.50764673795408,148.46499627884359,151.43190002441406,68607000,0.0,0.0
2022-07-01 00:00:00-04:00,148.83462548074678,150.47291453335157,143.7699056105313,145.0785369873047,57761000,0.0,0.0
2022-07-05 00:00:00-04:00,141.60216197280113,149.55386680526397,140.4034165602307,149.4839324951172,65139700,0.0,0.0
2022-07-06 00:00:00-04:00,149.94346644552866,153.03024021879406,147.73576455298772,151.1422119140625,52906600,0.0,0.0
2022-07-07 00:00:00-04:00,154.39882992605263,159.2837302626653,153.72953039854366,158.41464233398438,49290300,0.0,0.0
2022-07-08 00:00:00-04:00,154.1390817426124,160.20274334109232,153.72950567820072,158.21482849121094,46797200,0.0,0.0
2022-07-11 00:00:00-04:00,155.09807405625122,155.10807338270442,150.2231737671932,151.3619842529297,43732100,0.0,0.0
2022-07-12 00:00:00-04:00,152.52078077828594,154.14908592188723,148.6148696391963,150.66273498535156,45848300,0.0,0.0
2022-07-13 00:00:00-04:00,145.74783793476024,153.58965743595792,144.4991415328419,151.4818572998047,52191800,0.0,0.0
2022-07-14 00:00:00-04:00,150.92244614975283,154.56863360416585,147.12640597900185,153.5596923828125,45623500,0.0,0.0
2022-07-15 00:00:00-04:00,156.4266875958542,157.6554157955959,154.28892002571183,157.4556121826172,38593500,0.0,0.0
